roll,pitch,thrust,yaw
0,69,0,0
0,68,0,0
0,68,0,0
0,68,0,0
0,68,0,0
0,68,0,0
1,68,0,0
1,67,0,0
1,67,0,0
1,67,0,0
1,67,0,0
2,67,0,0
1,67,0,0
1,67,0,0
1,67,0,0
2,67,0,0
2,67,0,0
2,67,0,0
2,68,0,0
1,68,0,0
1,68,0,0
1,68,0,0
0,69,0,0
0,69,0,0
0,70,0,0
0,70,0,0
0,70,0,0
0,70,0,0
0,69,0,0
1,69,0,0
1,69,0,0
1,69,0,0
1,69,0,0
1,69,0,0
1,69,0,0
1,69,0,0
1,69,0,0
1,69,0,0
1,69,0,0
1,69,0,0
1,69,0,0
2,69,0,0
1,69,0,0
1,68,0,0
1,71,0,0
1,68,0,0
1,69,0,0
0,69,0,0
1,73,0,0
1,69,0,0
1,73,0,0
1,73,0,0
1,69,0,0
0,69,0,0
0,69,0,0
0,69,0,0
1,69,0,0
1,69,0,0
0,69,0,0
0,69,0,0
0,69,0,0
1,69,0,0
1,69,0,0
1,69,0,0
1,69,0,0
1,69,0,0
1,69,0,0
1,69,0,0
1,69,0,0
1,69,0,0
1,69,0,0
1,69,0,0
1,69,0,0
1,69,0,0
1,69,0,0
1,69,0,0
1,69,0,0
1,69,0,0
0,69,0,0
0,69,0,0
0,69,0,0
0,70,0,0
0,70,0,0
0,70,0,0
0,70,0,0
0,70,0,0
0,70,0,0
0,70,0,0
0,70,0,0
0,70,0,0
0,70,0,0
-1,70,0,0
-1,71,0,0
-1,71,0,0
-1,71,0,0
-1,71,0,0
-1,71,0,0
-1,71,0,0
-1,71,0,0
-1,72,0,0
-1,72,0,0
-1,72,0,0
-1,72,0,0
-1,72,0,0
-1,72,0,0
-1,72,0,0
-1,73,0,0
-1,73,0,0
-1,73,0,0
-1,73,0,0
-1,73,0,0
-1,73,0,0
-1,73,0,0
-2,73,0,0
-1,73,0,0
-1,73,0,0
-2,74,0,0
-2,74,0,0
-2,74,0,0
-2,75,0,0
-1,75,0,0
-1,75,0,0
-1,75,0,0
-2,75,0,0
-2,75,0,0
-2,76,0,0
-2,76,0,0
-2,76,0,0
-2,76,0,0
-2,76,0,0
-2,76,0,0
-2,76,0,0
-2,76,0,0
-2,76,0,0
-2,76,0,0
-2,76,0,0
-3,77,0,0
-3,77,0,0
-3,77,0,0
-3,77,0,0
-3,77,0,0
-3,77,0,0
-4,77,0,0
-4,77,0,0
-4,77,0,0
-3,77,0,0
-3,77,0,0
-3,78,0,0
-4,78,0,0
-4,78,0,0
-4,78,0,0
-3,78,0,0
-3,78,0,0
-3,78,0,0
-4,78,0,0
-4,78,0,0
-4,78,0,0
-4,78,0,0
-4,78,0,0
-4,78,0,0
-4,78,0,0
-4,78,0,0
-4,78,0,0
-4,78,0,0
-4,78,0,0
-4,78,0,0
-3,78,0,0
-3,78,0,0
-3,78,0,0
-3,77,0,0
-3,77,0,0
-3,78,0,0
-3,78,0,0
-3,78,0,0
-4,78,0,0
-4,78,0,0
-4,78,0,0
-3,78,0,0
-3,78,0,0
-3,78,0,0
-3,78,0,0
-3,78,0,0
-3,78,0,0
-3,78,0,0
-3,78,0,0
-3,78,0,0
-3,78,0,0
-3,78,0,0
-3,78,0,0
-3,78,0,0
-3,78,0,0
-3,78,0,0
-3,78,0,0
-3,78,0,0
-3,78,0,0
-3,78,0,0
-3,77,0,0
-3,77,0,0
-3,78,0,0
-4,78,0,0
-4,78,0,0
-4,78,0,0
-4,78,0,0
-4,78,0,0
-4,78,0,0
-4,78,0,0
