roll,pitch,thrust,yaw
4,6,0,0
6,5,0,0
6,4,0,0
7,3,0,0
8,1,0,0
8,1,0,0
8,1,0,0
7,-2,0,0
7,-2,0,0
5,-3,0,0
5,-3,0,0
5,-10,0,0
5,-13,0,0
5,-13,0,0
9,-16,0,0
11,-16,0,0
11,-16,0,0
13,-11,0,0
12,-7,0,0
11,-4,0,0
7,0,0,0
5,0,0,0
2,1,0,0
-1,-1,0,0
-2,-7,0,0
-4,-9,0,0
-2,-12,0,0
-1,-15,0,0
1,-19,0,0
3,-20,0,0
4,-20,0,0
4,-20,0,0
7,-15,0,0
10,-9,0,0
11,-5,0,0
13,0,0,0
13,2,0,0
10,2,0,0
10,2,0,0
4,-4,0,0
2,-7,0,0
-4,-12,0,0
-5,-16,0,0
-4,-18,0,0
-3,-18,0,0
-1,-17,0,0
2,-13,0,0
4,-8,0,0
6,-5,0,0
9,1,0,0
12,4,0,0
12,4,0,0
13,5,0,0
12,3,0,0
10,2,0,0
9,0,0,0
7,-1,0,0
5,-4,0,0
2,-6,0,0
-2,-8,0,0
-1,-9,0,0
-1,-10,0,0
1,-9,0,0
4,-8,0,0
6,-6,0,0
9,-3,0,0
11,0,0,0
13,3,0,0
13,5,0,0
15,6,0,0
12,6,0,0
9,5,0,0
6,3,0,0
3,-1,0,0
2,-2,0,0
1,-4,0,0
0,-6,0,0
4,-7,0,0
5,-7,0,0
8,-8,0,0
