roll,pitch,thrust,yaw
-999,-999,-999,0
-999,-999,-999,0
-999,-999,-999,0
-999,-999,-999,0
-999,-999,-999,0
-999,-999,-999,0
-999,-999,-999,0
-999,-999,-999,0
-999,-999,-999,0
-999,-999,-999,0
-999,-999,-999,0
-999,-999,-999,0
-999,-999,-999,0
-999,-999,-999,0
-999,-999,-999,0
-999,-999,-999,0
-999,-999,-999,0
-999,-999,-999,0
-999,-999,-999,0
-999,-999,-999,0
-999,-999,-999,0
-999,-999,-999,0
-999,-999,-999,0
-999,-999,-999,0
-999,-999,-999,0
-999,-999,-999,0
-999,-999,-999,0
-999,-999,-999,0
-999,-999,-999,0
-999,-999,-999,0
-999,-999,-999,0
-999,-999,-999,0
-999,-999,-999,0
-999,-999,-999,0
-999,-999,-999,0
-999,-999,-999,0
-999,-999,-999,0
-999,-999,-999,0
-2,30,5,0
-2,31,5,0
-2,31,5,0
-2,31,5,0
-2,31,5,0
-1,30,4,0
-1,30,4,0
-1,30,4,0
-1,30,4,0
-1,30,4,0
0,30,3,0
0,29,3,0
0,29,3,0
0,29,3,0
1,29,3,0
1,28,3,0
1,28,3,0
1,28,3,0
1,28,3,0
1,27,3,0
2,27,3,0
2,27,3,0
2,27,3,0
2,27,3,0
2,27,3,0
2,26,2,0
2,26,2,0
2,26,2,0
2,26,2,0
3,25,2,0
3,25,2,0
3,25,2,0
3,25,2,0
3,25,2,0
3,25,2,0
3,25,2,0
3,25,2,0
3,25,2,0
3,25,2,0
3,25,2,0
4,25,2,0
4,25,2,0
4,25,2,0
4,24,2,0
4,24,2,0
4,24,2,0
4,24,2,0
4,24,2,0
3,24,2,0
3,24,2,0
3,24,2,0
3,24,2,0
3,24,2,0
3,24,2,0
3,24,2,0
3,23,2,0
3,23,2,0
3,23,2,0
3,23,2,0
2,23,2,0
2,23,2,0
2,22,2,0
2,22,2,0
2,22,2,0
1,22,3,0
1,22,2,0
1,22,2,0
1,22,3,0
0,22,2,0
0,22,2,0
0,21,2,0
0,21,2,0
0,21,2,0
0,21,2,0
0,21,2,0
0,21,2,0
-1,21,2,0
-1,21,2,0
-1,21,2,0
-1,21,2,0
-1,21,2,0
-1,21,2,0
0,21,2,0
0,21,2,0
0,21,2,0
0,21,2,0
0,21,2,0
0,21,2,0
0,21,2,0
0,21,2,0
0,21,2,0
0,22,2,0
0,22,2,0
0,22,1,0
0,22,1,0
0,22,1,0
0,22,1,0
0,23,1,0
0,23,1,0
0,23,1,0
0,23,1,0
0,23,1,0
0,24,1,0
0,24,1,0
0,24,1,0
0,24,2,0
0,25,2,0
0,25,2,0
0,26,2,0
0,26,2,0
0,26,2,0
0,27,2,0
-1,27,2,0
-1,27,2,0
-1,27,2,0
-1,27,2,0
-1,27,2,0
-1,28,2,0
-1,28,2,0
-1,29,2,0
-1,29,2,0
-1,29,2,0
-1,30,2,0
-1,30,2,0
-1,30,2,0
-1,30,2,0
-1,30,2,0
-1,30,2,0
-1,31,2,0
-1,31,2,0
-1,31,2,0
-2,31,2,0
-2,31,1,0
-2,31,1,0
-2,31,1,0
-2,31,1,0
-2,31,2,0
-2,31,2,0
-2,30,2,0
-2,30,2,0
-2,30,2,0
-2,30,2,0
-2,30,2,0
-2,30,2,0
-2,30,2,0
-2,30,2,0
-2,29,2,0
-2,29,2,0
-2,29,2,0
-2,29,2,0
-2,29,2,0
-2,29,2,0
-1,28,2,0
-1,28,3,0
-1,28,3,0
-1,28,3,0
-1,27,3,0
-1,27,3,0
0,27,3,0
0,27,3,0
0,27,4,0
0,27,4,0
0,26,4,0
1,26,4,0
1,26,4,0
1,26,4,0
1,26,4,0
1,26,4,0
1,25,4,0
2,25,4,0
2,25,3,0
2,25,3,0
2,25,3,0
2,24,3,0
2,24,3,0
2,24,3,0
2,24,3,0
2,24,3,0
2,24,2,0
2,23,2,0
2,23,2,0
2,23,2,0
2,23,2,0
2,23,1,0
2,23,1,0
2,22,1,0
2,22,1,0
2,22,1,0
2,22,0,0
2,22,0,0
2,21,0,0
2,21,0,0
2,21,0,0
2,21,0,0
3,21,0,0
3,20,0,0
3,20,0,0
3,20,0,0
3,20,0,0
3,20,1,0
2,20,1,0
2,20,1,0
2,20,1,0
2,20,1,0
2,20,1,0
2,20,1,0
2,20,1,0
2,20,1,0
2,20,1,0
2,20,1,0
2,20,1,0
2,20,1,0
2,20,1,0
2,20,1,0
2,21,1,0
2,21,1,0
2,22,1,0
1,22,1,0
1,22,1,0
1,22,2,0
1,23,2,0
1,23,2,0
1,23,2,0
1,23,2,0
1,24,2,0
1,24,2,0
1,25,2,0
1,25,2,0
1,25,2,0
1,26,2,0
1,26,2,0
1,26,2,0
1,26,2,0
1,26,2,0
1,26,2,0
1,27,2,0
1,27,2,0
1,27,2,0
1,27,2,0
1,27,2,0
1,28,2,0
0,28,2,0
0,28,2,0
0,28,2,0
0,28,2,0
0,28,2,0
0,29,3,0
0,29,2,0
0,29,2,0
0,29,2,0
0,29,2,0
0,29,3,0
0,29,2,0
0,30,3,0
0,30,3,0
