x,y,z
3.003997,51.773950,7.675621
2.985464,51.739995,7.845142
2.935627,51.690857,7.779338
2.593772,51.916461,7.894256
2.510445,52.214757,7.452558
2.540156,52.194533,7.466468
2.708350,52.347455,7.594395
2.616649,52.198053,7.705251
2.748741,52.045308,7.835491
2.691703,52.049652,7.892751
2.842962,51.913994,7.768054
2.944567,51.784795,7.698008
3.272318,51.563703,7.615378
3.511560,51.586013,7.238124
3.460175,51.754458,7.378751
3.366028,51.724318,7.586640
3.373451,51.664946,7.341262
3.613335,51.578929,7.097164
3.397632,51.758927,7.099813
3.496153,51.755096,6.631599
3.565334,51.939770,6.484918
3.458430,51.961164,6.425042
3.431013,51.959131,6.509655
3.362892,52.078837,6.460453
3.292509,52.024107,6.564840
3.220499,52.000838,6.663879
3.320057,51.972654,6.613831
3.162627,51.937699,6.929174
3.095115,51.788228,7.069018
3.439350,51.651077,6.781891
3.624044,51.490435,7.271383
3.568359,51.398116,7.570270
3.509840,51.281751,7.415576
3.612703,51.324700,7.339312
3.633023,51.385881,7.365673
3.499842,51.343545,7.463490
3.513086,51.313763,7.353234
3.482625,51.296559,7.331869
3.498525,51.410372,7.298159
3.403925,51.416469,7.393361
3.340473,51.272825,7.413346
3.427043,51.411474,7.338236
3.365200,51.476807,7.269237
3.360757,51.398919,7.238618
3.216004,51.502180,7.401950
3.287459,51.465515,7.167386
3.389905,51.480552,7.118363
3.440751,51.516715,7.068303
3.286559,51.426016,7.187227
3.215394,51.445124,7.107511
3.073375,51.555286,7.315791
3.205237,51.578298,7.297003
3.025835,51.645513,7.272348
3.107654,51.678671,7.230950
2.988831,51.848973,7.102205
3.011717,51.899693,7.124862
2.882256,51.824603,7.232737
2.918862,51.906573,7.263522
2.889005,51.799866,7.246391
3.110845,51.792041,6.956634
3.175137,51.648529,7.500570
2.982305,51.601180,7.616695
3.185147,51.592039,7.378815
3.147997,51.609261,7.264881
3.297952,51.708790,7.253207
2.983064,51.626815,7.625772
3.239236,51.558074,7.171439
3.146448,51.673982,7.262116
3.151403,51.699641,7.251740
2.909435,51.604557,7.371293
2.906534,51.757598,7.390031
2.942038,51.719130,7.434568
2.898697,51.667273,7.520131
2.823020,51.554951,7.472688
2.805750,51.585072,7.489741
2.820423,51.654184,7.490555
2.764397,51.650572,7.427974
2.756243,51.551245,7.506579
2.740170,51.623109,7.597955
2.554616,51.575635,7.783988
2.530495,51.567729,7.732786
2.566252,51.528852,7.714222
2.422511,51.629456,7.799079
2.509643,51.644626,7.628429
2.542392,51.717830,7.612790
2.369654,51.645109,7.693906
2.231340,51.827580,7.414813
2.196931,51.869022,7.358350
2.091839,51.991904,7.340009
2.136077,52.123504,7.282329
2.318601,51.919088,7.248373
2.295840,51.916482,7.213716
2.260525,52.141425,7.334782
2.353066,51.924829,7.271803
2.332398,51.999006,7.244564
2.332266,51.992742,7.186956
2.269992,52.021096,7.389828
1.887001,52.225876,7.362190
2.369287,51.969796,7.098416
2.501024,52.071260,7.003100
2.481476,51.935101,6.992111
2.524850,52.076554,7.024043
2.490134,51.980698,7.038521
2.558130,52.073496,7.003658
2.575717,52.007098,6.963416
2.722378,52.025451,6.892808
2.704229,52.178071,6.894192
2.565143,52.052900,6.943251
2.541646,51.953297,6.831061
2.584851,52.082263,6.784016
2.615283,51.966153,6.838505
2.672925,51.910409,6.970013
2.779581,51.997809,6.765162
2.730574,51.986504,6.686585
2.685454,51.910482,6.870108
2.719888,51.998827,6.834387
2.723400,51.936077,6.711574
2.790963,51.953014,6.741909
2.753141,51.979483,6.686365
2.626665,51.855666,6.831135
2.807627,51.966393,6.609215
2.790649,51.969900,6.720932
2.737491,51.870654,6.821810
2.749830,52.001733,6.928816
2.722364,51.993211,6.955737
2.830242,51.836981,6.808371
2.892885,51.981673,6.785231
2.868947,51.898554,6.947255
2.911878,51.958553,6.827259
2.904748,51.952058,6.685762
2.906157,51.957681,6.704950
2.976773,51.967974,6.529309
2.983153,51.880260,6.621392
2.970923,51.978967,6.521452
3.020940,52.032757,6.499190
2.991503,51.978559,6.546224
2.956367,51.948546,6.507137
2.940776,51.938256,6.505568
2.936344,52.013037,6.475278
2.907054,52.024296,6.505074
2.653470,51.822313,6.857467
2.827508,51.812491,6.921322
2.683728,51.806173,7.034317
2.674714,51.818471,7.033753
2.655888,51.842102,6.991723
2.653286,51.816147,6.800291
2.857322,51.730498,6.750718
2.783695,51.989837,6.812776
2.842957,51.961976,6.678204
2.691773,51.957635,6.747271
2.820778,51.996297,6.398528
2.843273,52.058086,6.343029
2.666277,52.129119,6.510126
2.708624,52.094572,6.438934
2.832944,52.034598,6.235875
2.916818,52.208464,6.291449
2.843037,52.100795,6.290267
2.858119,52.135253,6.361377
2.843279,52.112908,6.405180
2.776623,51.989176,6.480935
2.787148,52.097944,6.314373
2.679999,52.181816,6.295249
2.631235,52.243195,6.314694
2.622676,52.140804,6.390786
2.553038,52.171597,6.344906
2.471139,52.110757,6.431791
2.463603,52.137103,6.384225
2.462932,52.138292,6.360585
2.476614,52.309525,6.408991
2.472062,52.212419,6.472808
2.454324,52.099542,6.440240
2.594023,52.071720,6.265321
2.499103,52.070578,6.335561
2.402175,52.227965,6.254981
2.307985,52.225762,6.286219
2.285053,52.162405,6.341671
2.382450,52.123590,6.243580
2.254605,52.167108,6.181179
2.207756,52.153661,6.315242
2.377848,52.192856,6.129966
2.257995,52.223187,6.168755
2.229975,52.101026,6.221901
2.336988,52.193696,6.186900
