x,y,z
1.791872,7.386227,-88.804167
3.553647,7.381741,-98.097756
4.506953,7.050753,-98.925507
5.364846,6.697455,-95.775782
N/A,N/A,N/A
N/A,N/A,N/A
N/A,N/A,N/A
6.013716,1.726342,-87.673016
6.288247,0.322818,-86.392576
N/A,N/A,N/A
5.759579,-6.918283,-80.158619
4.175569,-9.338328,-78.355969
2.676956,-11.748663,-80.210495
0.762173,-12.818443,-83.449620
0.472407,-12.576920,-86.282610
0.695773,-9.863156,-87.020741
0.949982,-6.752863,-87.336868
1.872909,-4.251552,-87.573865
3.552735,-1.227492,-88.748012
4.699485,0.125512,-88.027542
5.603197,0.627994,-87.914260
7.644336,-1.715778,-88.059059
8.380102,-4.496821,-87.318842
8.378291,-6.482874,-86.852919
6.978782,-9.104194,-84.143351
4.818042,-12.488807,-83.813306
2.328149,-14.919590,-83.468000
0.968365,-15.352637,-85.362980
-0.006190,-14.547566,-85.682838
-0.395416,-11.626904,-87.405283
-0.535712,-7.029009,-88.129669
0.104127,-3.434104,-88.407481
1.115927,0.333774,-88.258076
2.078059,2.228044,-88.380359
3.615571,3.105954,-89.070649
4.292525,2.373563,-89.170338
4.377034,-1.082017,-88.114982
3.945032,-3.747100,-88.080875
3.931097,-8.237121,-87.316714
3.930566,-11.718624,-87.406368
3.886041,-14.557633,-87.854920
4.016095,-16.152435,-87.284337
4.724713,-16.601569,-85.543952
4.994380,-14.489533,-85.033132
6.163450,-10.092475,-86.308769
5.454639,-5.674519,-86.939204
4.998136,-0.390684,-87.772326
N/A,N/A,N/A
N/A,N/A,N/A
2.721283,5.808997,-88.735049
2.459564,5.192405,-88.535767
1.367543,1.930151,-88.258078
1.599473,-1.310154,-86.905610
1.888817,-4.385393,-84.951294
2.221606,-8.539020,-84.728199
4.461204,-10.485345,-82.541711
4.772690,-12.283182,-82.566567
6.096099,-12.960815,-81.911263
7.049431,-11.270775,-81.703563
7.294548,-5.883104,-81.363150
N/A,N/A,N/A
6.654525,0.686191,-81.401244
4.352241,3.608594,-81.897292
4.037422,4.578616,-81.586332
1.048083,2.957538,-81.834416
0.216600,4.452040,-83.191650
0.586790,2.095101,-84.639153
