x,y,z
-999.000000,-999.000000,-999.000000
-999.000000,-999.000000,-999.000000
-999.000000,-999.000000,-999.000000
-999.000000,-999.000000,-999.000000
-999.000000,-999.000000,-999.000000
-999.000000,-999.000000,-999.000000
-999.000000,-999.000000,-999.000000
-999.000000,-999.000000,-999.000000
-999.000000,-999.000000,-999.000000
-999.000000,-999.000000,-999.000000
-999.000000,-999.000000,-999.000000
-999.000000,-999.000000,-999.000000
-999.000000,-999.000000,-999.000000
-999.000000,-999.000000,-999.000000
-999.000000,-999.000000,-999.000000
-999.000000,-999.000000,-999.000000
-999.000000,-999.000000,-999.000000
-999.000000,-999.000000,-999.000000
-999.000000,-999.000000,-999.000000
-999.000000,-999.000000,-999.000000
-999.000000,-999.000000,-999.000000
-999.000000,-999.000000,-999.000000
-999.000000,-999.000000,-999.000000
-999.000000,-999.000000,-999.000000
-999.000000,-999.000000,-999.000000
-999.000000,-999.000000,-999.000000
-999.000000,-999.000000,-999.000000
-999.000000,-999.000000,-999.000000
-999.000000,-999.000000,-999.000000
-999.000000,-999.000000,-999.000000
-999.000000,-999.000000,-999.000000
-999.000000,-999.000000,-999.000000
-999.000000,-999.000000,-999.000000
-999.000000,-999.000000,-999.000000
-999.000000,-999.000000,-999.000000
-999.000000,-999.000000,-999.000000
-999.000000,-999.000000,-999.000000
-999.000000,-999.000000,-999.000000
-3.292850,51.581626,14.866809
-2.852594,51.726469,14.638671
-2.623068,51.959526,14.523480
-2.623068,51.959526,14.523480
-2.034626,51.885728,13.799773
-1.473951,51.622629,12.074088
-1.630271,51.559661,11.072043
-1.630271,51.559661,11.072043
-1.491014,51.405986,10.701719
-0.356806,50.867632,10.048151
0.360879,50.339596,9.886316
0.942738,49.751327,9.685674
0.942738,49.751327,9.685674
1.541133,48.651712,9.280167
1.972202,48.623241,9.151777
2.334793,48.031928,8.870376
2.495955,47.959656,8.920208
2.645404,47.067007,8.490246
2.883864,46.954125,8.481057
3.149481,46.608444,8.331951
3.400942,46.628309,8.322552
3.815989,45.663464,7.971141
4.140280,45.410314,7.800802
4.140280,45.410314,7.800802
4.379802,45.127150,7.794490
4.710543,44.347325,7.469593
4.801027,43.998626,7.460181
4.801027,43.998626,7.460181
